,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
1,22-08-2021,20:45,Serie A,Giornata n. 1,Dom,Casa,V,3,1,Fiorentina,2.7,1.2,42.0,26.997,Lorenzo Pellegrini,4-2-3-1,Luca Pairetto,Report partita,
3,29-08-2021,20:45,Serie A,Giornata n. 2,Dom,Ospiti,V,4,0,Salernitana,1.9,0.3,77.0,12.5,Lorenzo Pellegrini,4-2-3-1,Rosario Abisso,Report partita,
4,12-09-2021,20:45,Serie A,Giornata n. 3,Dom,Casa,V,2,1,Sassuolo,2.8,1.7,49.0,29.604,Lorenzo Pellegrini,4-2-3-1,Simone Sozza,Report partita,
6,19-09-2021,18:00,Serie A,Giornata n. 4,Dom,Ospiti,P,2,3,Hellas Verona,0.8,1.1,47.0,10.148,Lorenzo Pellegrini,4-2-3-1,Fabio Maresca,Report partita,
7,23-09-2021,20:45,Serie A,Giornata n. 5,Gio,Casa,V,1,0,Udinese,1.3,0.9,52.0,29.593,Lorenzo Pellegrini,4-2-3-1,Antonio Rapuano,Report partita,
8,26-09-2021,18:00,Serie A,Giornata n. 6,Dom,Ospiti,P,2,3,Lazio,2.3,2.2,50.0,32.0,Gianluca Mancini,4-2-3-1,Marco Guida,Report partita,
10,03-10-2021,18:00,Serie A,Giornata n. 7,Dom,Casa,V,2,0,Empoli,1.3,0.6,64.0,31.946,Lorenzo Pellegrini,4-2-3-1,Giovanni Ayroldi,Report partita,
11,17-10-2021,20:45,Serie A,Giornata n. 8,Dom,Ospiti,P,0,1,Juventus,1.4,0.8,53.0,20.239,Lorenzo Pellegrini,4-2-3-1,Daniele Orsato,Report partita,
13,24-10-2021,18:00,Serie A,Giornata n. 9,Dom,Casa,N,0,0,Napoli,1.3,0.9,38.0,47.801,Lorenzo Pellegrini,4-2-3-1,Davide Massa,Report partita,
14,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Ospiti,V,2,1,Cagliari,2.4,1.1,58.0,8.547,Lorenzo Pellegrini,4-2-3-1,Ivan Pezzuto,Report partita,
15,31-10-2021,20:45,Serie A,Giornata n. 11,Dom,Casa,P,1,2,Milan,1.2,1.9,50.0,51.001,Lorenzo Pellegrini,4-2-3-1,Fabio Maresca,Report partita,
17,07-11-2021,12:30,Serie A,Giornata n. 12,Dom,Ospiti,P,2,3,Venezia,3.5,2.5,61.0,8.263,Lorenzo Pellegrini,3-4-1-2,Gianluca Aureliano,Report partita,
18,21-11-2021,20:45,Serie A,Giornata n. 13,Dom,Ospiti,V,2,0,Genoa,1.8,0.2,59.0,14.667,Lorenzo Pellegrini,3-5-2,Massimiliano Irrati,Report partita,
20,28-11-2021,18:00,Serie A,Giornata n. 14,Dom,Casa,V,1,0,Torino,0.9,1.2,32.0,46.728,Lorenzo Pellegrini,3-5-2,Daniele Chiffi,Report partita,
21,01-12-2021,18:30,Serie A,Giornata n. 15,Mer,Ospiti,P,0,1,Bologna,0.9,0.2,58.0,15.78,Gianluca Mancini,3-5-2,Luca Pairetto,Report partita,
22,04-12-2021,18:00,Serie A,Giornata n. 16,Sab,Casa,P,0,3,Inter,0.7,1.5,34.0,51.185,Gianluca Mancini,3-5-2,Marco Di Bello,Report partita,
24,13-12-2021,20:45,Serie A,Giornata n. 17,Lun,Casa,V,2,0,Spezia,1.9,0.5,52.0,44.844,Bryan Cristante,3-5-2,Alessandro Prontera,Report partita,
25,18-12-2021,15:00,Serie A,Giornata n. 18,Sab,Ospiti,V,4,1,Atalanta,1.2,1.3,29.0,14.469,Gianluca Mancini,3-5-2,Massimiliano Irrati,Report partita,
26,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Casa,N,1,1,Sampdoria,1.5,1.5,54.0,49.4,Gianluca Mancini,3-5-2,Piero Giacomelli,Report partita,
27,06-01-2022,18:30,Serie A,Giornata n. 20,Gio,Ospiti,P,1,3,Milan,0.8,2.9,45.0,35.87,Lorenzo Pellegrini,3-5-2,Daniele Chiffi,Report partita,
28,09-01-2022,18:30,Serie A,Giornata n. 21,Dom,Casa,P,3,4,Juventus,2.1,1.1,53.0,33.178,Lorenzo Pellegrini,4-2-3-1,Davide Massa,Report partita,
29,16-01-2022,18:00,Serie A,Giornata n. 22,Dom,Casa,V,1,0,Cagliari,1.9,0.6,56.0,5.0,Gianluca Mancini,4-2-3-1,Lorenzo Maggioni,Report partita,
31,23-01-2022,18:00,Serie A,Giornata n. 23,Dom,Ospiti,V,4,2,Empoli,3.0,0.9,42.0,4.92,Gianluca Mancini,3-4-1-2,Michael Fabbri,Report partita,
32,05-02-2022,15:00,Serie A,Giornata n. 24,Sab,Casa,N,0,0,Genoa,1.4,0.5,62.0,29.863,Gianluca Mancini,3-4-1-2,Rosario Abisso,Report partita,
34,13-02-2022,18:00,Serie A,Giornata n. 25,Dom,Ospiti,N,2,2,Sassuolo,2.4,0.9,54.0,9.282,Lorenzo Pellegrini,3-4-1-2,Marco Guida,Report partita,
35,19-02-2022,18:00,Serie A,Giornata n. 26,Sab,Casa,N,2,2,Hellas Verona,0.6,0.5,57.0,34.777,Lorenzo Pellegrini,3-4-1-2,Luca Pairetto,Report partita,
36,27-02-2022,18:05,Serie A,Giornata n. 27,Dom,Ospiti,V,1,0,Spezia,3.5,0.3,64.0,8.107,Lorenzo Pellegrini,3-4-3,Michael Fabbri,Report partita,
37,05-03-2022,18:00,Serie A,Giornata n. 28,Sab,Casa,V,1,0,Atalanta,1.2,0.8,36.0,42.303,Lorenzo Pellegrini,3-4-1-2,Davide Massa,Report partita,
39,13-03-2022,18:00,Serie A,Giornata n. 29,Dom,Ospiti,N,1,1,Udinese,1.2,0.6,63.0,15.114,Lorenzo Pellegrini,3-5-2,Marco Di Bello,Report partita,
41,20-03-2022,18:00,Serie A,Giornata n. 30,Dom,Casa,V,3,0,Lazio,2.2,0.5,34.0,51.932,Lorenzo Pellegrini,3-4-3,Massimiliano Irrati,Report partita,
42,03-04-2022,18:00,Serie A,Giornata n. 31,Dom,Ospiti,V,1,0,Sampdoria,1.1,0.4,51.0,16.465,Lorenzo Pellegrini,3-4-3,Gianluca Manganiello,Report partita,
44,10-04-2022,18:00,Serie A,Giornata n. 32,Dom,Casa,V,2,1,Salernitana,1.6,0.6,66.0,64.266,Bryan Cristante,3-4-3,Manuel Volpi,Report partita,
